story_id,prompt_id,model,SMOG,ARI,LFP,MDD,SRP,SPD,SCC,SVL,EPD,ECC,EVL
1108,14,Qwen2.5-7B,9.725611199111238,8.278193105463046,0.03625377643504532,1.991051792183698,8.609071199830739,7.101652584634896,1.5522227385121496,3.230155008774729,0.24378000000000002,3.960360653074486,3.2756000000000003
1109,17,Qwen2.5-7B,6.6274283507984215,5.945572289156626,0.07058823529411765,1.7878314393939394,8.882002169858328,7.020408726908826,1.1885564854444912,4.335989233716457,0.29957142857142854,1.3933554817275748,1.5902999999999998
1110,18,Qwen2.5-7B,12.009924989830619,11.097009803921573,0.025380710659898477,2.0225021326092016,9.113164533531167,7.18887403401948,1.4853403471915214,3.122815589064707,0.30028695652173915,8.920950658744509,5.872399999999999
1111,19,Qwen2.5-7B,10.451354775682146,7.527845774914741,0.015665796344647518,1.9306041268488747,8.915740999413844,6.8809608127949335,1.692302632703773,2.9220749603737897,0.3305925925925926,3.7649738484899613,7.0115
1112,22,Qwen2.5-7B,8.841846274778883,8.03125,0.04716981132075472,1.9077876984126985,9.814764096038509,7.578722865724596,1.2850170741729257,4.365680130431992,0.3274142857142857,2.371830694401324,1.5179
1113,23,Qwen2.5-7B,13.76565470535455,13.085666666666668,0.016129032258064516,2.2177128978486738,8.934505315647895,7.1651001310029,1.4122605231010619,3.4311445836539285,0.38609999999999994,2.9789577049870237,5.1218
1114,26,Qwen2.5-7B,13.023866798666859,13.151650485436896,0.009615384615384616,2.1913949843260188,9.79088964059667,7.542971420193813,1.2258578527792368,4.415851081000822,0.22762500000000002,1.6361185983827495,1.5465
1115,27,Qwen2.5-7B,12.540900571622839,11.829408866995074,0.019417475728155338,2.004236822934302,9.792964616439736,7.078567853874355,1.3416603729879897,3.5610052125168075,0.375376923076923,2.272998276584843,5.199
1116,30,Qwen2.5-7B,10.668919840407757,7.971653617287814,0.007281553398058253,1.8435900839869432,8.628638619316675,6.838743666730857,1.5642412352922033,2.864840015452169,0.22563333333333332,4.827069813877203,6.310300000000002
1117,32,Qwen2.5-7B,7.534196372845214,5.596235753826118,0.007936507936507936,2.0286641207996707,8.247190039665288,6.778182855629862,1.5942336303904032,2.761140233063146,0.32206111111111113,5.996483061805018,6.7493
1118,34,Qwen2.5-7B,7.635375032292933,6.272619357638892,0.01972386587771203,1.8116213545498554,8.585573009680907,6.880730529968484,1.6393028233349536,2.726128396951713,0.4502318181818181,9.26576239476146,13.8467
1119,35,Qwen2.5-7B,9.162432508145574,7.77399358974359,0.021917808219178082,2.1113650119844873,8.885039843711768,6.969790666162387,1.5955331069731546,3.153134611110463,0.42923043478260875,3.7291957843840917,7.7966
1120,36,Qwen2.5-7B,10.843485225782072,9.465301659125188,0.03418803418803419,1.9598793507530534,9.48153132691652,7.236053713824785,1.3923156483284131,3.6736283573458026,0.357475,3.762399684252072,4.6566
1121,40,Qwen2.5-7B,10.30751831280988,10.359489301889742,0.050595238095238096,1.9191382448865746,8.890058174409582,7.477152358957168,1.420904353332177,3.466266389146654,0.45563888888888887,3.769244910152121,7.2629
1122,44,Qwen2.5-7B,9.725611199111238,10.44675287356322,0.034482758620689655,2.12952847805789,8.790808428340894,7.655370132894039,1.3863173187879247,4.352733024831257,0.28518,1.1682916837361736,1.133
1123,49,Qwen2.5-7B,9.3871,9.352676056338026,0.02097902097902098,1.9626974836757447,8.585348770085709,6.967853681661674,1.4817699485159856,3.9052812799549046,0.26807777777777775,1.2543280478294774,2.0496
1124,51,Qwen2.5-7B,11.389717465364857,10.390279801499318,0.01576182136602452,2.161776488592719,8.979427153909082,6.820786512729563,1.5930092468136974,2.5338633546594806,0.4091709677419355,6.000993518474714,12.2735
1125,53,Qwen2.5-7B,8.97023862654752,7.760781571369808,0.030434782608695653,1.6876935453138662,9.05437881984638,7.395834436445731,1.3880595169848275,3.7029253195477487,0.1894190476190476,3.147989870212092,3.2146
1126,56,Qwen2.5-7B,11.525088041916213,9.273396226415095,0.023936170212765957,1.947911927499609,9.23611293065557,7.359846127161008,1.5421377082999008,3.2416231573729095,0.4731782608695653,4.5090735830295,7.199299999999999
1127,59,Qwen2.5-7B,9.3871,8.707506297229223,0.017456359102244388,2.0843949915008735,8.577510503201934,7.025909388525481,1.5398969700937317,3.1635427738559074,0.5036708333333334,7.668654443951026,9.3469
1128,62,Qwen2.5-7B,7.717688229018144,6.995368663594469,0.014141414141414142,2.092184474735267,8.517522026325075,6.96380483757764,1.6682294058986549,2.9636389864801345,0.4759103448275861,4.732665797956244,12.071800000000001
1129,63,Qwen2.5-7B,8.626192665926032,6.3716390858944045,0.012345679012345678,1.650898238083112,8.322737489677362,6.974283356683626,1.7379535097046266,3.224100453205585,0.35736296296296294,4.77521528258933,6.737800000000001
1130,65,Qwen2.5-7B,10.595843684498618,9.522604166666667,0.027607361963190184,1.9894481693988275,9.121436008562474,7.41135868232485,1.4426978210827794,3.4303678951199346,0.3876521739130435,7.070578905630454,6.648000000000001
